City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
172,tari,12.4086,4.4914,314.0,13,32,1.29,NG,1651685356
173,bomet,-0.7813,35.3416,287.93,98,100,2.2,KE,1651685356
174,comodoro rivadavia,-45.8667,-67.5,291.07,39,0,10.8,AR,1651685140
175,qaqortoq,60.7167,-46.0333,275.04,64,23,3.86,GL,1651685232
176,flinders,-34.5833,150.8552,289.92,91,94,1.79,AU,1651685358
177,methoni,36.8197,21.7049,292.71,76,0,5.47,GR,1651685359
178,deputatskiy,69.3,139.9,261.9,99,92,0.7,RU,1651685359
179,chimbote,-9.0853,-78.5783,294.88,72,61,3.64,PE,1651685360
180,buchanan,5.8808,-10.0467,302.1,73,92,3.08,LR,1651685360
181,port elizabeth,-33.918,25.5701,291.54,94,0,1.03,ZA,1651685136
182,necochea,-38.5473,-58.7368,292.73,43,12,6.9,AR,1651685361
183,artyom,40.4723,50.333,286.23,69,1,0.88,AZ,1651685362
184,caravelas,-17.7125,-39.2481,302.12,62,0,4.92,BR,1651685362
185,codrington,-38.2667,141.9667,281.7,76,64,3.19,AU,1651685363
186,the valley,18.217,-63.0578,303.07,69,40,6.69,AI,1651685363
187,sechura,-5.5569,-80.8222,299.08,55,51,3.64,PE,1651685364
188,port hardy,50.6996,-127.4199,280.25,93,100,0.0,CA,1651685364
189,nantucket,41.2835,-70.0995,285.23,92,100,5.06,US,1651685365
190,tautira,-17.7333,-149.15,300.6,77,80,4.98,PF,1651685365
191,northam,51.0333,-4.2167,287.81,81,53,4.94,GB,1651685366
192,catalina,32.5056,-110.9211,299.33,23,0,1.34,US,1651685367
193,hami,42.8,93.45,300.19,23,77,9.36,CN,1651685367
194,payo,-3.7508,103.6372,296.29,99,100,0.57,ID,1651685368
195,ancud,-41.8697,-73.8203,285.87,98,100,4.18,CL,1651685368
196,mecca,21.4267,39.8261,305.53,30,0,2.49,SA,1651685165
197,egvekinot,66.3167,-179.1667,261.12,88,62,4.45,RU,1651685369
198,chaiyaphum,15.75,102.0,299.29,56,100,2.27,TH,1651685369
